category,product_count,avg_price,min_price,max_price,median_price,avg_discount,avg_rating,total_reviews,official_stores
Home & Office,200,387.75,13.0,2799.0,219.0,40.31,4.15,10516.0,132
Baby Products,100,170.43,19.0,1220.0,119.0,37.27,4.21,892.0,16
Computing,100,290.39,21.0,2699.0,140.0,47.05,4.28,4502.0,30
Electronics,100,1122.36,23.0,4799.0,524.0,40.33,4.16,3219.0,28
Fashion,100,355.25,39.0,654.0,379.0,39.98,4.37,5089.0,92
Gaming,100,705.99,25.0,7799.0,320.5,37.71,4.09,600.0,1
Grocery,100,76.26,5.4,759.0,35.0,18.98,4.4,309.0,63
Health & Beauty,100,114.56,16.2,379.0,95.0,32.43,4.24,12213.0,61
Phones & Tablets,100,580.37,35.0,2250.0,224.0,36.57,4.04,2930.0,59
Sporting Goods,98,226.8,29.0,3799.0,117.0,40.4,4.02,1227.0,5
Automobile,1,44.9,44.9,44.9,44.9,77.0,4.0,10.0,0
Garden & Outdoors,1,97.0,97.0,97.0,97.0,19.0,3.7,3.0,0
