name,category,current_price,old_price,discount,rating,review_count,weighted_score,is_official_store,url
Maybelline Rouge à Lèvres Liquide - Effet Mat - Longue Tenue - SuperStay Matte Ink - Teinte :15 LOVER,Health & Beauty,95.0,124.0,23.0,4.3,791.0,28.7,True,https://www.jumia.ma/maybelline-rouge-a-levres-liquide-effet-mat-longue-tenue-superstay-matte-ink-teinte-15-lover-32208861.html
Maybelline Mascara Lash Sensationnal Sky High - Volume & Longueur - Teinte: Noir le plus Noir,Health & Beauty,106.0,137.0,23.0,4.2,883.0,28.49,True,https://www.jumia.ma/maybelline-mascara-lash-sensationnal-sky-high-volume-longueur-teinte-noir-le-plus-noir-53264621.html
Taurus Tondeuse Mithos Avant 4 fonctions - 2ans de garantie,Health & Beauty,95.0,149.0,36.0,3.9,796.0,26.06,True,https://www.jumia.ma/tondeuse-cheveux-et-barbe-avec-4-tailles-de-sabot-original-despagne-taurus-mpg1427706.html
Maybelline Rouge à Lèvres Liquide - Effet Mat - Longue Tenue - SuperStay Matte Ink - Teinte : 65 SEDUCTRES,Health & Beauty,91.0,124.0,27.0,4.2,482.0,25.96,True,https://www.jumia.ma/maybelline-rouge-a-levres-liquide-effet-mat-longue-tenue-superstay-matte-ink-teinte-65-seductres-33479106.html
NIVEA Lait Corps Beurre de Cacao - 2x250ml.,Health & Beauty,74.0,109.0,32.0,4.5,314.0,25.89,True,https://www.jumia.ma/nivea-lait-corps-beurre-de-cacao-2x250ml.-66281704.html
"Maybelline Fit Me Liquid Anti-Cernes, Concealer Couvrance naturelle et légère - Teinte: 20",Health & Beauty,77.0,96.0,20.0,4.2,466.0,25.81,True,https://www.jumia.ma/maybelline-fit-me-liquid-anti-cernes-concealer-couvrance-naturelle-et-legere-teinte-20-32209275.html
Maybelline Gloss à Lèvres Hydratant & Brillance Instantanée - Enrichi en Acide Hyaluronique - Lifter Gloss - Teinte : 003 MOON,Health & Beauty,84.0,119.0,29.0,4.5,300.0,25.68,True,https://www.jumia.ma/maybelline-gloss-a-levres-hydratant-brillance-instantanee-enrichi-en-acide-hyaluronique-lifter-gloss-teinte-003-moon-60279830.html
Taurus Bouilloire en verre cristal Aroa Glass  1.7Lrotation360° 2200w-2 ans de garantie,Home & Office,281.0,539.0,48.0,4.5,287.0,25.48,True,https://www.jumia.ma/taurus-bouilloire-en-verre-cristal-aroa-glass-1.7lrotation360-2200w-2-ans-de-garantie-17784944.html
Taurus Bouilloire en verre cristal Aroa Glass  1.7Lrotation360° 2200w-2 ans de garantie,Home & Office,281.0,539.0,48.0,4.5,287.0,25.48,True,https://www.jumia.ma/taurus-bouilloire-en-verre-cristal-aroa-glass-1.7lrotation360-2200w-2-ans-de-garantie-17784944.html
Labello Pack de 2 Baumes à Lèvres - Blackberry Shine - 4.8g.,Health & Beauty,48.0,75.0,36.0,4.6,250.0,25.42,True,https://www.jumia.ma/labello-pack-de-2-baumes-a-levres-blackberry-shine-4.8g.-66281623.html
Adidas Chaussure Lite Racer 4.0 -Noir - IE6133,Fashion,496.0,630.0,21.0,4.3,363.0,25.36,True,https://www.jumia.ma/adidas-chaussure-lite-racer-4.0-noir-ie6133-65612605.html
BUY SAT 32'' SMART TV - ANDROID 14 - Récepteur Intégré & TNT – HD,Electronics,935.0,1799.0,48.0,4.1,471.0,25.24,True,https://www.jumia.ma/32-smart-tv-android-13-recepteur-integre-tnt-buy-sat-mpg1398121.html
"Visio 32"" TV HD LED - Récepteur intégré + TNT - Garantie - Noir",Electronics,849.0,1309.0,35.0,4.1,460.0,25.15,True,https://www.jumia.ma/32-led-tv-full-hd-noirrecepteur-integre-tnt-visio-mpg39430.html
Adidas Chaussure Lite Racer 4.0 - Noir - IE6132,Fashion,336.0,630.0,47.0,4.3,343.0,25.11,True,https://www.jumia.ma/adidas-chaussure-lite-racer-4.0-noir-ie6132-65423485.html
NIVEA Soft Crème de soin hydratante - Pot 100ml.,Health & Beauty,22.0,26.0,15.0,4.3,332.0,24.98,True,https://www.jumia.ma/nivea-soft-creme-de-soin-hydratante-pot-100ml.-66281527.html
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",Computing,40.0,185.0,78.0,4.1,441.0,24.97,False,https://www.jumia.ma/generic-support-pliable-pour-ordinateur-portable-mac-et-pc-en-aluminium-support-antiderapant-64227839.html
XIAOMI 20000Mah Redmi 18W Fast Charge Power Bank (Black),Phones & Tablets,189.0,349.0,46.0,4.4,290.0,24.96,True,https://www.jumia.ma/xiaomi-20000mah-redmi-18w-fast-charge-power-bank-black-48931123.html
"Kraft line Aspirateur 12 En 1 À Main 3000W À Fil, Technologie Sans Sac Cyclonique",Home & Office,289.0,379.0,24.0,4.2,378.0,24.94,False,https://www.jumia.ma/kraft-line-aspirateur-12-en-1-a-main-3000w-a-fil-technologie-sans-sac-cyclonique-66383548.html
"Kraft line Aspirateur 12 En 1 À Main 3000W À Fil, Technologie Sans Sac Cyclonique",Home & Office,289.0,379.0,24.0,4.2,378.0,24.94,False,https://www.jumia.ma/kraft-line-aspirateur-12-en-1-a-main-3000w-a-fil-technologie-sans-sac-cyclonique-66383548.html
"Garnier SkinActive - Eau Micellaire Pour Peaux Sensibles, Démaquillant Grand Format - 700 ml",Health & Beauty,73.0,97.0,25.0,4.5,252.0,24.9,True,https://www.jumia.ma/garnier-skinactive-eau-micellaire-pour-peaux-sensibles-demaquillant-grand-format-700-ml-35444853.html
"Maybelline Fit Me Liquid Anti-Cernes, Concealer Couvrance naturelle et légère - Teinte:  25",Health & Beauty,73.0,102.0,28.0,4.3,312.0,24.71,True,https://www.jumia.ma/maybelline-fit-me-liquid-anti-cernes-concealer-couvrance-naturelle-et-legere-teinte-25-32209278.html
Nia Casque Originale bluetooth  Q1 Appel-lecteur Micro SD / TF-radio FM,Phones & Tablets,84.0,,,4.1,404.0,24.62,False,https://www.jumia.ma/nia-casque-originale-bluetooth-q1-appel-lecteur-micro-sd-tf-radio-fm-29026678.html
mifoy GM100 Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Computing,69.0,336.0,79.0,4.3,305.0,24.61,True,https://www.jumia.ma/gm100-souris-de-jeu-gamer-pro-rgb-capteur-optique-1200-a-3200-dpi-led-6-boutons-mifoy-mpg1222529.html
Labello LABELLO Baume à Lèvres - Blackberry Shine - 4.8g.,Health & Beauty,30.0,44.0,32.0,4.4,255.0,24.4,True,https://www.jumia.ma/labello-labello-baume-a-levres-blackberry-shine-4.8g.-66281576.html
"Maybelline Crayon Khol Colossal Kajal 6H, Long-lasting Intense Colour, Kohl Eyeliner Teinte: NOIR",Health & Beauty,36.0,51.0,29.0,4.1,370.0,24.26,True,https://www.jumia.ma/maybelline-crayon-khol-colossal-kajal-6h-long-lasting-intense-colour-kohl-eyeliner-teinte-noir-32211997.html
Labello Pack de 2 Baumes à Lèvres - Original - 4.8g.,Health & Beauty,46.0,75.0,39.0,4.4,242.0,24.17,True,https://www.jumia.ma/labello-pack-de-2-baumes-a-levres-original-4.8g.-66281577.html
"Taurus Bouilloire en plastique Aroa 2200W +1,7L -2 ans de garantie",Home & Office,215.0,369.0,42.0,4.3,275.0,24.17,True,https://www.jumia.ma/taurus-bouilloire-en-plastique-aroa-2200w-17l-2-ans-de-garantie-17784959.html
"Taurus Bouilloire en plastique Aroa 2200W +1,7L -2 ans de garantie",Home & Office,215.0,369.0,42.0,4.3,275.0,24.17,True,https://www.jumia.ma/taurus-bouilloire-en-plastique-aroa-2200w-17l-2-ans-de-garantie-17784959.html
Adidas Chaussure Court – Blanc – IE0927,Fashion,419.0,630.0,33.0,4.3,270.0,24.09,True,https://www.jumia.ma/adidas-chaussure-court-blanc-ie0927-65423483.html
Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,Computing,81.5,150.0,46.0,4.2,294.0,23.89,False,https://www.jumia.ma/nia-casque-bluetooth-q1-avec-microphone-radio-fm-support-micro-sd-auxiliaire-noir-35940513.html
Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,Computing,81.5,150.0,46.0,4.2,294.0,23.89,False,https://www.jumia.ma/nia-casque-bluetooth-q1-avec-microphone-radio-fm-support-micro-sd-auxiliaire-noir-35940513.html
Adidas Chaussure Cloudfoam Comfy -Bleu - IH6130,Fashion,379.0,590.0,36.0,4.4,224.0,23.83,True,https://www.jumia.ma/adidas-chaussure-cloudfoam-comfy-bleu-ih6130-65796777.html
Mellerware Friteuse Air Fryer MDF digital power 5L 12 programmes sans PFOA – 2 ans de garantie,Home & Office,629.0,799.0,21.0,4.3,249.0,23.74,True,https://www.jumia.ma/mellerware-friteuse-air-fryer-mdf-digital-power-5l-12-programmes-sans-pfoa-2-ans-de-garantie-65690085.html
Mellerware Friteuse Air Fryer MDF digital power 5L 12 programmes sans PFOA – 2 ans de garantie,Home & Office,629.0,799.0,21.0,4.3,249.0,23.74,True,https://www.jumia.ma/mellerware-friteuse-air-fryer-mdf-digital-power-5l-12-programmes-sans-pfoa-2-ans-de-garantie-65690085.html
Adidas Chaussure De Running Runfalcon 5. - Noir - IH7758,Fashion,588.0,710.0,17.0,4.3,239.0,23.57,True,https://www.jumia.ma/adidas-chaussure-de-running-runfalcon-5.-noir-ih7758-65980309.html
Garnier Garnier ultra doux hair food masque au beurre de cacao pour cheveux boucles 390ML,Health & Beauty,75.0,105.0,29.0,4.2,270.0,23.53,True,https://www.jumia.ma/ultra-doux-hair-food-macadamia-apres-shampoing-lissant-pour-cheveux-boucles-crepus-390ml-garnier-mpg1460107.html
Adidas Chaussure \u00e0 scratch Tensaur - Noir - GW6455,Fashion,219.0,390.0,44.0,4.5,185.0,23.52,True,https://www.jumia.ma/adidas-chaussure-u00e0-scratch-tensaur-noir-gw6455-64188636.html
"Maybelline Fit Me Liquid Anti-Cernes, Concealer Couvrance naturelle et légère - Teinte: 10",Health & Beauty,75.0,102.0,26.0,4.2,267.0,23.48,True,https://www.jumia.ma/maybelline-fit-me-liquid-anti-cernes-concealer-couvrance-naturelle-et-legere-teinte-10-32209273.html
XIAOMI Redmi Buds 6 Play (White),Phones & Tablets,99.0,129.0,23.0,4.4,197.0,23.27,True,https://www.jumia.ma/xiaomi-redmi-buds-6-play-white-65760032.html
Maybelline Rouge à Lèvres Liquide - Effet Mat - Longue Tenue - SuperStay Matte Ink - Teinte : 165 SUCCESSFUL,Health & Beauty,90.0,120.0,25.0,4.5,173.0,23.22,True,https://www.jumia.ma/maybelline-rouge-a-levres-liquide-effet-mat-longue-tenue-superstay-matte-ink-teinte-165-successful-35353471.html
Labello Pack de 2 Baumes à Lèvres - Cherry Shine - 4.8g.,Health & Beauty,48.0,75.0,36.0,4.3,219.0,23.19,True,https://www.jumia.ma/labello-pack-de-2-baumes-a-levres-cherry-shine-4.8g.-66281621.html
Adidas Chaussures \u00e0 scratch Tensaur - Noir - GW6456,Fashion,216.0,390.0,45.0,4.4,193.0,23.18,True,https://www.jumia.ma/adidas-chaussures-u00e0-scratch-tensaur-noir-gw6456-65035564.html
XIAOMI Monitor A27I (Black),Computing,1299.0,2199.0,41.0,4.6,153.0,23.17,True,https://www.jumia.ma/monitor-a27i-27-pouces-xiaomi-mpg1473165.html
Samsung Memory Card Micro SD Carte Mémoire Micro SDXC Classe 10 128 GB 130MB/s,Phones & Tablets,159.0,250.0,36.0,4.6,152.0,23.14,False,https://www.jumia.ma/samsung-memory-card-micro-sd-carte-memoire-micro-sdxc-classe-10-128-gb-130mbs-59758408.html
Kenz Panini Sandwiches Maker Granit Antiadhésive Barbecue sans huile sans beurre,Home & Office,219.0,329.0,33.0,4.3,209.0,22.99,True,https://www.jumia.ma/panini-sandwiches-maker-granit-antiadhesive-barbecue-sans-huile-sans-beurre-kenz-mpg1460095.html
Kenz Panini Sandwiches Maker Granit Antiadhésive Barbecue sans huile sans beurre,Home & Office,219.0,329.0,33.0,4.3,209.0,22.99,True,https://www.jumia.ma/panini-sandwiches-maker-granit-antiadhesive-barbecue-sans-huile-sans-beurre-kenz-mpg1460095.html
"TCL 32 FHD 1080P Smart Android TV, Assistant Google Bluetooth, Audio Dolby, 32S5400",Electronics,1424.0,2398.0,41.0,4.3,203.0,22.87,False,https://www.jumia.ma/32-fhd-1080p-smart-android-tv-assistant-google-bluetooth-audio-dolby-32s5400-tcl-mpg1544906.html
"Now Foods Vitamine D3, 10 000 UI, 120 capsules Sans OGM + Sticker Cadeau",Health & Beauty,219.0,315.88,31.0,4.4,174.0,22.73,False,https://www.jumia.ma/now-foods-vitamine-d3-10-000-ui-120-capsules-sans-ogm-sticker-cadeau-42280378.html
TP-Link Caméra de Surveillance WiFi-MICRO IP 1080P sans Fil Tapo C200C,Electronics,277.99,350.0,21.0,4.7,118.0,22.46,False,https://www.jumia.ma/camera-surveillance-wifitapo-camera-ip-1080p-sans-fil-tp-link-mpg1524610.html
Siera Fer à repasser SW 619,Home & Office,149.0,202.0,26.0,4.1,237.0,22.44,True,https://www.jumia.ma/siera-fer-a-repasser-sw-619-62321712.html
